,Number,Line,Sample,CODE,No leaves,Diameter,Perpendicular,Height,Max. Temp.,Min. Temp.,Mean. Temp.,Max. Hum.,Min. Hum.,Mean. Hum.,Combined Temperature Average,Combined Temperature Std Dev,Combined Humidity Average,Combined Humidity Std Dev,BBCH,Average Leaf Thickness
2024-09-11,36,5,N,RNGRA4,8,11.9,8.6,9.7,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,37,5,N,RNGRC2,11,20.4,13.8,14.1,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,38,6,N,RNROB1,4,8.4,7.6,7.9,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,39,6,N,RNROA4,8,16.9,13.2,10.6,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,40,6,N,RNROC2,9,17.8,12.1,12.1,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,41,6,N,RNROA3,8,16.8,12.7,10.5,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,42,6,N,RNROB5,6,13.1,9.6,7.5,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,43,6,N,RNROA2,7,13.4,11.5,9.6,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,44,6,N,RNROC4,8,12.8,11.9,9.6,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,45,6,N,RNROB4,8,14.6,14.3,12.1,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-14,1,1,W,RWGRB5,13,19.1,16.8,10.4,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,2,1,W,RWGRA3,13,17.8,15.1,11.3,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,37,0.0
2024-09-14,3,1,W,RWGRC1,17,18.1,18.5,9.7,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,37,0.0
2024-09-14,4,1,W,RWGRA2,14,16.2,16.5,10.2,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,39,0.0
2024-09-14,5,1,W,RWGRB3,11,20.5,17.6,10.1,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,39,0.0
2024-09-14,6,1,W,RWGRA4,11,19.5,14.2,8.7,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,45,0.0
2024-09-14,7,1,W,RWGRC3,13,18.1,16.5,10.2,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,8,1,W,RWGRA5,14,17.3,14.2,9.7,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
