Number;Line;Sample;Date;CODE;No leaves;Diameter;Perpendicular;Height;Thickness 1;Thickness 2;Thickness 3;Thickness 4;Thickness 5
1;1;W;24/09/2024;RWGRB5;16;23,8;22,6;9,85;0,26;0,38;0,24;;
2;1;W;24/09/2024;RWGRA3;15;22,8;21,6;8,55;0,27;0,29;0,28;;
3;1;W;24/09/2024;RWGRC1;16;24,5;21,2;9,65;0,35;0,32;0,31;;
4;1;W;24/09/2024;RWGRA2;13;22,9;22,8;10,15;0,31;0,33;0,32;;
5;1;W;24/09/2024;RWGRB3;12;24,6;19,8;8,45;0,31;0,32;0,28;;
6;1;W;24/09/2024;RWGRA4;11;23,5;22,8;7,15;0,35;0,29;0,29;;
7;1;W;24/09/2024;RWGRC3;16;23,5;21,4;7,55;0,32;0,33;0,29;;
8;1;W;24/09/2024;RWGRA5;14;20,8;20,3;8,45;0,32;0,35;0,3;;
9;2;W;24/09/2024;RWGRC2;15;27,8;23,1;8,65;0,45;0,32;0,34;;
10;2;W;24/09/2024;RWGRB4;15;30,4;27,6;10,15;0,29;0,27;0,34;;
11;2;W;24/09/2024;RWGRC5;15;27,1;23,1;9,95;0,31;0,32;0,29;;
12;2;W;24/09/2024;RWGRB1;16;30,4;26,1;9,95;0,27;0,26;0,3;;
13;2;W;24/09/2024;RWGRC4;15;22,1;23,9;8,55;0,3;0,26;0,27;;
14;2;W;24/09/2024;RWGRB2;9;21,3;20,8;6,65;0,25;0,29;0,32;;
15;2;W;24/09/2024;RWGRA1;13;23,2;24,3;9,65;0,26;0,28;0,28;;
16;3;N;24/09/2024;RNGRA3;14;28,5;25,7;13,55;0,26;0,31;0,31;;
17;3;N;24/09/2024;RNGRB5;16;27,4;28,3;11,35;;;;;
18;3;N;24/09/2024;RNGRC4;19;27,8;25,6;12,25;0,26;0,29;0,25;;
19;3;N;24/09/2024;RNGRA1;13;29,5;26,1;10,65;0,35;0,32;0,25;;
20;3;N;24/09/2024;RNGRC5;14;25,9;26,2;12,15;0,25;0,35;0,29;;
21;3;N;24/09/2024;RNGRB2;17;27,2;25,4;11,35;0,32;0,31;0,28;;
22;3;N;24/09/2024;RNGRA2;12;23,1;21,9;11,05;0,28;0,28;0,32;;
23;4;N;24/09/2024;RNROB2;11;22,3;18,2;9,55;0,28;0,31;0,28;;
24;4;N;24/09/2024;RNROC3;10;20,3;16,5;7,55;0,31;0,29;0,38;;
25;4;N;24/09/2024;RNROA5;8;19,4;15,6;8,55;0,35;0,37;0,38;;
26;4;N;24/09/2024;RNROC5;10;19,4;18,3;9,55;0,42;0,33;0,32;;
27;4;N;24/09/2024;RNROB3;10;19,3;16,4;9,55;0,38;0,32;0,38;;
28;4;N;24/09/2024;RNROA1;6;12,8;10,3;5,05;0,24;0,19;0,22;;
29;4;N;24/09/2024;RNROC1;10;20,3;20,9;9,55;0,36;0,27;0,31;;
30;5;N;24/09/2024;RNGRC1;16;27,6;23,4;11,35;0,34;0,35;0,37;;
31;5;N;24/09/2024;RNGRB3;18;30,6;23,4;12,35;0,34;0,28;0,37;;
32;5;N;24/09/2024;RNGRA5;13;26,3;23,1;12,05;0,35;0,36;0,33;;
33;5;N;24/09/2024;RNGRB1;11;28,7;26,8;12,05;0,33;0,29;0,27;;
34;5;N;24/09/2024;RNGRC3;11;24,1;23,8;11,05;0,35;0,32;0,26;;
